"","s__Neisseria_flavescens","s__Alloprevotella_tannerae","s__Corynebacterium_matruchotii","s__Porphyromonas_sp_oral_taxon_278","s__Fusobacterium_nucleatum","s__Leptotrichia_buccalis","s__Capnocytophaga_sp_oral_taxon_329","s__candidate_division_TM7_single_cell_isolate_TM7b","s__Capnocytophaga_granulosa","s__Treponema_denticola","s__Dialister_invisus","s__candidate_division_TM7_single_cell_isolate_TM7c","s__Prevotella_melaninogenica","s__Prevotella_maculosa","s__Treponema_socranskii","s__Veillonella_parvula","s__Gemella_morbillorum","s__Actinomyces_johnsonii","s__Leptotrichia_wadei","s__Aggregatibacter_sp_oral_taxon_458","s__Streptococcus_gordonii","s__Capnocytophaga_gingivalis","s__Prevotella_saccharolytica","s__Treponema_medium","s__Campylobacter_gracilis","s__Selenomonas_infelix","s__Peptostreptococcus_stomatis","s__Eubacterium_infirmum","s__Prevotella_oulorum","s__Selenomonas_noxia","s__Candidatus_Prevotella_conceptionensis","s__Granulicatella_adiacens","s__Treponema_maltophilum","s__Capnocytophaga_ochracea","s__Cardiobacterium_valvarum","s__Prevotella_oris","s__Porphyromonas_sp_oral_taxon_279","s__Campylobacter_showae","s__Prevotella_nigrescens","s__Rothia_aeria","s__Neisseria_elongata","s__Prevotella_pallens","s__Oribacterium_sp_oral_taxon_078","s__Propionibacterium_propionicum","s__Catonella_morbi","s__Prevotella_loescheii","s__Eikenella_corrodens","s__Anaeroglobus_geminatus","s__Selenomonas_artemidis","s__Centipeda_periodontii","s__Actinomyces_naeslundii","s__Leptotrichia_shahii","s__Porphyromonas_endodontalis","s__Selenomonas_sputigena","s__Rothia_dentocariosa","s__Lachnoanaerobaculum_saburreum","s__Treponema_lecithinolyticum","s__Campylobacter_curvus","s__Leptotrichia_hofstadii","s__Solobacterium_moorei","s__Treponema_vincentii","s__Eubacterium_brachy","s__Neisseria_sicca","s__Lachnospiraceae_oral_taxon_107","s__Haemophilus_parainfluenzae","s__Atopobium_parvulum","s__Fusobacterium_periodonticum","s__Lautropia_mirabilis","s__Stomatobaculum_longum","s__Streptococcus_sanguinis","s__Actinomyces_georgiae","s__Actinomyces_massiliensis","s__Tannerella_forsythia","s__Actinomyces_oris","s__Bacteroidetes_oral_taxon_274","s__Streptococcus_cristatus","s__Actinomyces_odontolyticus","s__Campylobacter_concisus","s__Cardiobacterium_hominis","s__Corynebacterium_durum","s__Parvimonas_micra","s__Streptococcus_oligofermentans","s__Aggregatibacter_segnis","s__Streptococcus_infantis","s__Kingella_denitrificans","s__Slackia_exigua","s__Streptococcus_australis","s__Streptococcus_anginosus","s__Streptococcus_constellatus","s__Selenomonas_flueggei","s__Oribacterium_sinus","s__Lachnospiraceae_bacterium_oral_taxon_082","s__Actinomyces_viscosus","s__Atopobium_rimae","s__Campylobacter_rectus","s__Abiotrophia_defectiva","s__Neisseria_meningitidis","s__Haemophilus_paraphrohaemolyticus","s__Neisseria_subflava","s__Fretibacterium_fastidiosum","s__Gemella_haemolysans","s__Streptococcus_tigurinus","s__Prevotella_micans","s__Streptococcus_intermedius","s__Neisseria_gonorrhoeae","s__Porphyromonas_catoniae","s__Kingella_oralis","s__Neisseria_macacae","s__Lachnospiraceae_bacterium_ICM7","s__Haemophilus_haemolyticus","s__Rothia_mucilaginosa","s__Prevotella_nanceiensis","s__Veillonella_dispar","s__Actinobaculum_sp_oral_taxon_183","s__Neisseria_sp_oral_taxon_014","s__Prevotella_intermedia","s__Prevotella_denticola","s__Leptotrichia_sp_oral_taxon_215","s__Prevotella_dentalis","s__Eubacterium_saphenum","s__Mogibacterium_sp_CM50","s__Megasphaera_micronuciformis","s__Streptococcus_mutans","s__Desulfobulbus_sp_oral_taxon_041","s__Filifactor_alocis","s__Prevotella_buccae","s__Actinomyces_timonensis","s__Pseudoramibacter_alactolyticus","s__Prevotella_oralis","s__Prevotella_salivae","s__Granulicatella_elegans","s__Leptotrichia_goodfellowii","s__Streptococcus_salivarius","s__Streptococcus_parasanguinis","s__Haemophilus_influenzae","s__Veillonella_atypica","s__Bacteroidetes_bacterium_oral_taxon_272","s__Shuttleworthia_satelles","s__Actinomyces_sp_oral_taxon_180","s__Gemella_sanguinis","s__Prevotella_veroralis","s__Actinomyces_sp_oral_taxon_848","s__Neisseria_bacilliformis","s__Prevotella_pleuritidis","s__Porphyromonas_gingivalis","s__Johnsonella_ignava","s__Eubacterium_yurii","s__Aggregatibacter_actinomycetemcomitans","s__Streptococcus_vestibularis","s__Actinomyces_cardiffensis","s__Capnocytophaga_sp_oral_taxon_338","s__Capnocytophaga_sp_oral_taxon_863","s__Alloprevotella_rava","s__Prevotella_baroniae","s__Olsenella_uli","s__Eubacteriaceae_bacterium_ACC19a","s__Desulfovibrio_desulfuricans","s__Selenomonas_sp_oral_taxon_892","s__Selenomonas_sp_CM52","s__Prevotella_marshii","s__Eubacteriaceae_bacterium_OBRC8","s__Eubacteriaceae_bacterium_CM5","s__Aggregatibacter_aphrophilus","s__Eggerthia_catenaformis","s__Capnocytophaga_sp_oral_taxon_332","s__Veillonella_sp_3_1_44","s__Neisseria_lactamica","s__Leptotrichia_sp_oral_taxon_225","s__Bulleidia_extructa","s__Haemophilus_sputorum","s__Prevotella_sp_oral_taxon_473","s__Selenomonas_sp_F0473","s__Selenomonas_sp_oral_taxon_137","s__Escherichia_coli","s__Streptococcus_massiliensis","s__Capnocytophaga_sp_oral_taxon_380","s__Neisseria_cinerea","s__Haemophilus_parahaemolyticus","s__Prevotella_histicola","s__Streptococcus_sp_BS35b","s__Actinomyces_sp_oral_taxon_448"
"S01.01.D",8536469,5865271,4953267,4643609,4361368,1847634,1693303,1466168,1429788,1410521,1253469,1249092,1045276,860499,796110,775593,750397,693198,680296,605282,596584,460191,445836,440068,432638,425091,404346,395740,393672,314177,295328,287910,256941,244728,243244,240763,226833,223121,221607,221237,219588,216805,203607,200456,192712,180640,180406,166808,145288,137864,135494,132428,131604,127855,123226,123183,122949,119120,118923,104777,104278,91776,85048,83244,75143,71530,60160,56325,53924,51019,49437,42782,41496,35765,35414,30151,28064,23503,21859,16288,14460,12829,10305,9806,9751,9689,8895,8772,8501,6556,5232,5195,4838,4801,4660,4309,4014,3152,2887,2444,2395,2247,1945,1090,868,769,708,480,431,259,252,203,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S01.02.D",1362832,1089532,4401819,0,3851689,1914977,894021,454354,1340541,2441821,1056116,410131,1881235,389663,263600,594492,119218,174296,364715,228314,92482,359941,521515,283040,668298,32817,0,411342,51263,755268,479545,22265,192321,220046,384060,138154,28238,510894,50130,225545,138241,450721,54262,145186,278058,3247,353070,118602,7114,87894,161856,60677,196392,15065,51449,664422,41623,3750,47018,161995,90303,293414,253106,1988,3238,338990,51241,19114,49062,455812,2183,19041,725780,69613,1444142,18238,0,14618,35047,4957,73893,4236,0,0,0,391,386,5998,0,8889,5213,11115,13016,222919,118749,2170,612,716,634,54357,12148,1207,148150,160715,408,21879,3741,495,1641,1059,451,0,2244,862020,858704,169925,120989,72907,61718,52391,42443,39648,29987,29002,27752,22578,20959,9861,2739,1853,1775,1181,1081,907,616,595,204,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S01.05.R",0,0,0,0,319845,0,0,0,0,0,0,0,2103482,0,0,3115074,117476,19229,13125,0,4726,243862,0,0,170572,239,0,573,89392,51,0,93523,0,318,0,58336,0,0,0,98074,0,78100,80551,563,0,0,16257,0,0,0,112766,0,0,159,37391,0,0,0,0,1584,0,72365,179818,0,7423,558280,0,336,101906,555816,0,192,0,63280,0,5272,786,7065,0,0,36905,1400,0,2152,0,0,0,0,0,167,2670,113460,47520,63305,0,0,383,0,0,0,0,34814,0,100462,0,0,4701,0,0,0,72,10284,1020,0,0,0,0,129838,0,0,0,4925,6117,0,0,36810,0,0,3512,15424,0,0,0,272919,0,1071,0,0,142437,1812,468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S01.06.R",8625,174603,1721188,0,353374,8513,0,0,0,0,0,0,83421,14947,0,5150640,43534,29682,1585300,0,35868,3609135,0,0,106514,1989,0,0,95225,164084,23673,1024083,0,29741,0,141281,0,0,0,2562184,2598194,4333,40728,80521,0,1178,733778,1148,0,0,321555,5671,0,8305,726479,0,0,1640,13988,0,0,77691,7834908,0,696738,5369,8542,685277,56865,8584705,669,278,0,50241,0,63501,9093,11609,54527,16753,26225,43250,781,101263,0,0,15178,876,0,41207,18736,0,25449,5227,0,1521,151131,0,2184,0,0,281804,0,444692,0,0,86979,28859,0,0,56640,15421,2107,0,836119,0,0,183980,0,0,0,0,71404,0,0,4683,0,0,76714,2907,0,959,864,1545797,0,770,0,0,0,62122,107,44617,1669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S03.01.D",11798,7675,539140,0,1381980,899,0,0,4083,1132024,12395,2364,2311,1220,41612,151616,111613,38667,1268,0,110240,98674,0,137506,15396,0,12392,0,0,0,19683,37126,33415,5437,0,24581,380993,0,9834,5325,54827,1117,16168,21430,123743,1294,66355,1380,0,0,31050,0,285642,1249,88662,771,554064,0,193,0,63926,603968,29320,1146,508990,0,25828,59,0,82322,0,80941,169024,27532,94360,10141,5435,0,0,46929,58302,8325,1544,8771,112007,0,0,0,0,0,0,0,47069,0,98140,68311,922,0,1664,12527,266489,0,0,126366,0,0,37038,24942,3345,13689,3000,5216,254,0,0,39414,0,0,4377,873,0,0,0,8793,126107,3691,0,2994,12750,0,14683,4834,1005,14806,14786,0,368,0,0,3189,0,0,0,1776367,1596311,27658,12798,5755,2858,1837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S03.03.R",0,3298,0,0,3116185,547,0,0,0,824413,5596,18111,0,2503,293572,104916,256153,515,408,0,10033,3673,2348,601528,54978,14258,5793,0,0,24384,262154,3294,166465,3130,239,263689,0,1418,47045,4889,0,0,31603,63989,429208,94049,84943,0,0,1585,0,0,179048,17457,774,0,1072628,0,0,0,313382,1299832,1349,0,4184,0,877,0,0,18721,1774,2115,201817,5525,632978,0,0,0,0,0,91333,0,0,0,408,0,0,0,1330,0,0,0,4919,0,342489,10596,0,0,0,28003,11283,0,0,44971,0,0,0,2371,0,1925,0,0,0,0,0,382850,0,0,0,47998,40500,0,0,8364,220318,1492,0,31483,97464,0,5376,13952,0,0,2902,0,216,0,0,0,0,0,0,4725567,761032,61241,49274,22189,0,0,78942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S04.01.D",0,170255,289408,0,683450,22587,134657,14953,8657,778540,58415,11359,16383,14363,293369,69714,53996,15270,20259,0,4523,107575,18242,301518,29044,13191,81126,36427,0,119867,235267,4449,242197,678,8014,169372,0,34016,520726,58395,119592,0,29335,8200,5575,28117,26606,9753,2812,17286,15698,2870,636160,35755,59919,34207,22096,0,9901,15136,168667,58368,14469,1684,28581,5594,7407,11821,0,16967,0,43583,1106436,3185,11500,9372,25342,316,8022,35550,3694,0,3066,0,0,94,0,5575,489,77,0,0,3131,0,139846,0,200,0,0,113953,0,0,41134,0,672,59482,22159,13059,2871,0,0,0,0,106972,0,486777,0,0,27483,297480,0,4910,0,258514,275294,0,0,49482,63057,0,0,0,0,0,0,192,118610,0,0,0,11786,0,0,151326,4171014,54,47532,0,0,13691,0,55170,25211,13749,11822,9859,964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S04.02.D",0,628207,220475,0,1281950,142885,448963,15862,33717,1838830,111707,26134,641929,79390,587650,43323,257943,0,67060,0,2079,127977,140376,1252929,37317,59430,272563,41300,35049,146919,537405,0,684445,4490,8133,481855,0,150549,1048599,2969,178479,19114,166011,28024,33141,81917,89246,80267,31234,177547,0,16648,1673837,121300,0,23290,6496,39315,12158,45845,1595095,83377,8459,4309,17950,31801,91798,0,20863,0,0,6870,2850301,0,113288,19209,5491,1890,2836,296,11243,0,103419,202,0,11028,0,6118,6543,7682,3411,0,365,0,598270,0,206,0,0,320879,0,567,321665,0,0,92503,32261,3076,20326,0,0,0,0,0,0,1531416,0,82522,88456,432426,30130,27487,0,235258,779864,0,0,31861,43891,0,0,0,0,0,0,0,303251,0,0,0,1925,0,0,179102,15263825,2191,234910,0,0,74063,0,40325,176520,64779,60143,91008,1018,102423,98290,58472,1057,408,279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S04.03.D",0,161640,582922,0,723672,71202,94501,37513,12349,2681604,79775,48143,1878,35257,455457,28718,68124,232,11351,0,0,135238,101375,737067,27549,18757,150080,3095,0,181649,209795,1744,524986,23566,10574,162714,0,66718,318853,1762,67630,0,52738,14008,39618,69602,19427,0,12455,95618,3224,3723,509907,58533,6808,15076,23450,11436,11270,771,344300,90564,4457,9780,1928,330,10622,4298,0,3123,0,28834,1834476,1550,579506,10874,1558,0,3247,2460,3748,0,22054,0,0,360,0,194,10824,1656,0,0,1757,0,308102,0,512,0,0,174611,0,252,89981,0,0,27705,0,1177,0,0,0,0,0,0,0,574260,0,0,37148,300881,23329,0,0,239204,494231,2823,0,50895,63905,0,0,0,0,0,0,0,170926,0,0,0,0,0,0,30395,9477487,3892,125059,0,0,63849,0,0,8770,355,31645,52178,1717,0,47588,0,0,0,5944,8283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S04.04.D",0,0,91712,0,473629,209,0,0,363,644846,10232,550,0,0,105456,252,460,0,0,0,0,9200,0,72078,1189,0,0,0,0,6110,0,0,193061,605,1589,289,0,2772,0,376,8490,0,0,389,0,1306,2125,3605,0,0,0,0,153223,0,0,0,79876,0,9482,0,30923,31013,3988,107,597,0,0,0,0,569,0,1338,1114632,0,3230,2050,0,0,2347,0,478,0,0,0,0,0,0,0,0,0,0,0,0,0,121102,0,0,0,0,103574,0,0,244,0,0,14307,0,1567,0,0,0,0,0,0,0,34285,0,0,69,138133,20907,0,0,102497,165171,0,0,46494,126,0,0,0,0,0,0,0,9350,0,0,0,0,0,0,215134,3378623,119,2961,0,0,0,0,0,1029,0,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
